epoch,accuracy,loss,val_accuracy,val_loss
0,0.47439801692962646,1.2206294536590576,0.47262248396873474,1.2579368352890015
1,0.6454470157623291,0.8742566704750061,0.559077799320221,1.121634840965271
2,0.7232217192649841,0.7100231647491455,0.5878962278366089,1.0601940155029297
3,0.7871574759483337,0.5672168135643005,0.5533141493797302,1.1852667331695557
4,0.8250761032104492,0.46655821800231934,0.5360230803489685,1.2539429664611816
5,0.8624411821365356,0.3700416088104248,0.5706051588058472,1.3053114414215088
6,0.8884583711624146,0.30913910269737244,0.5273775458335876,1.4509518146514893
7,0.9094935059547424,0.2547040581703186,0.5561959743499756,1.5864498615264893
8,0.9128148555755615,0.24979527294635773,0.5878962278366089,1.577492356300354
9,0.9352338910102844,0.18773096799850464,0.559077799320221,1.761972427368164
10,0.9393855333328247,0.17753277719020844,0.5821325778961182,1.7100958824157715
11,0.9570993781089783,0.12747390568256378,0.5504322648048401,1.8996719121932983
12,0.9620813727378845,0.12085796892642975,0.5475504398345947,1.9888875484466553
13,0.9537780284881592,0.13499999046325684,0.5677233338356018,2.0062015056610107
14,0.9615278244018555,0.11514370888471603,0.5706051588058472,2.1490204334259033
15,0.9604207277297974,0.11957443505525589,0.5677233338356018,2.03035569190979
16,0.9662330746650696,0.09941958636045456,0.5475504398345947,2.0714192390441895
17,0.9753667116165161,0.07772182673215866,0.5706051588058472,2.129566192626953
18,0.9759202599525452,0.07874936610460281,0.5619596838951111,2.2400455474853516
19,0.9690008163452148,0.08776146173477173,0.5734870433807373,2.3099446296691895
20,0.971491813659668,0.08355023711919785,0.5446686148643494,2.5140862464904785
21,0.9670633673667908,0.09197743982076645,0.5417867302894592,2.5483837127685547
22,0.9344035387039185,0.19920334219932556,0.5417867302894592,2.3587353229522705
23,0.9515637755393982,0.14780759811401367,0.5850144028663635,2.3139166831970215
24,0.9670633673667908,0.09191381931304932,0.5533141493797302,2.513092041015625
