epoch,accuracy,loss,val_accuracy,val_loss
0,0.36977580189704895,1.3249282836914062,0.4063400626182556,1.2662402391433716
1,0.6537503600120544,0.9585573673248291,0.6628242135047913,0.9098368883132935
2,0.793523371219635,0.5663290023803711,0.7002881765365601,0.7717505693435669
3,0.8494325876235962,0.40286964178085327,0.7002881765365601,0.8143865466117859
4,0.8790478706359863,0.3205910921096802,0.680115282535553,0.8264927268028259
5,0.9114309549331665,0.25833842158317566,0.6916426420211792,0.8748366236686707
6,0.9335731863975525,0.2086496502161026,0.6974063515663147,0.9358749389648438
7,0.9465817809104919,0.174061119556427,0.680115282535553,1.0040303468704224
8,0.9532244801521301,0.15299591422080994,0.6829971075057983,1.0465983152389526
9,0.9570993781089783,0.13684557378292084,0.6685879230499268,1.1121395826339722
10,0.9673401713371277,0.1115337684750557,0.6829971075057983,1.1633611917495728
11,0.9684472680091858,0.10305516421794891,0.6685879230499268,1.2235817909240723
12,0.9717686176300049,0.094341941177845,0.6829971075057983,1.2539727687835693
13,0.9725989699363708,0.0889056921005249,0.6829971075057983,1.2771037817001343
14,0.9701079726219177,0.0910690426826477,0.6743515729904175,1.3264718055725098
15,0.9753667116165161,0.07305782288312912,0.6657060384750366,1.4063373804092407
16,0.975643515586853,0.08110929280519485,0.680115282535553,1.3904790878295898
17,0.975089967250824,0.07346948236227036,0.6887608170509338,1.3930436372756958
18,0.9759202599525452,0.07078856974840164,0.6743515729904175,1.4705612659454346
19,0.9773041605949402,0.07377465814352036,0.6743515729904175,1.475751280784607
20,0.9781345129013062,0.0680597722530365,0.6829971075057983,1.4616363048553467
21,0.9792416095733643,0.06377756595611572,0.6916426420211792,1.5219826698303223
22,0.976473867893219,0.0658874362707138,0.6685879230499268,1.516937017440796
23,0.9795184135437012,0.058214448392391205,0.6657060384750366,1.5468175411224365
24,0.9781345129013062,0.06205924227833748,0.6743515729904175,1.5941429138183594
